,Birth 1,Birth 2,Birth 3,Birth 4,Death 1,Death 2,Event 1,Event 2
11-Apr,Jeremy Clarkson- 1960,DJ Fresh- 1977,Will Tudor- 1987,Cerys Matthews- 1969,The Elephant Man- 1890,J. Geils- 2017,1976 - Apple 1 computer is released,2012 - The Avengers premieres in L.A
12-Apr,Brendon Urie- 1987,Claire Danes- 1979,Andy Garcia- 1956,Bobby Moore- 1941,Franklin D Roosevelt- 1945,David Gest- 2016,1931 - Spanish monarchy is rejected by the public,1987 - Texaco files for bankruptcy
13-Apr,Thomas Jefferson- 1743,Ron Perlman- 1950,Peter Davison- 1951,George North- 1992,Dan Rooney- 2017,King Curtis- 1971,1957 - 12 Angry Men released,2015 - Premiere of Avengers: Age of Ultron
14-Apr,Peter Capaldi- 1958,Sarah Michelle Gellar- 1977,Adrien Brody- 1973,Pete Rose- 1941,George Handel- 1759,Peter Steele- 2010,1912 - RMS Titanic hits an iceberg,2017 - The fate of the furious is released in cinemas
15-Apr,Emma Watson- 1990,Maisie Williams- 1997,Emma Thompson- 1959,Luke Evans- 1979,Abraham Lincoln- 1865,Tommy Cooper- 1984,1738 - Bottle Opener invented,1793 - Bank of England issues first £5 note
16-Apr,Charlie Chaplin- 1889,Pope Benedict- 1927,Lily Loveless- 1990,Nate Diaz- 1985,Pat Summerall- 2013,Joe Kirk- 1975,1862 - Slavery abolished in district of Columbia,1986 - Colonel Gaddafi denies rumours he's dead
17-Apr,Sean Bean- 1959,Victoria Beckham- 1974,Jennifer Garner- 1972,Eliza Doolittle- 1988,Benjamin Franklin- 1790,Doris Roberts- 2016,2011 - First Episode of Game of Thrones,2013 - Same Sex marriage legalised in New Zealand
18-Apr,David Tennant- 1971,Rosie Huntington Whiteley- 1987,Kourtney Kardashian- 1979,Rick Moranis- 1953,Albert Einstein- 1955,Erasmus Darwin- 1802,1982 - Zimbabwe capital renamed as Harare,2017 - Teresa May announces Snap Election
19-Apr,James Franco- 1978,Maria Sharapova- 1987,Joe Hart- 1987,Hayden Christensen- 1981,Charles Darwin- 1882,Elisabeth Sladen- 2011,2005 - Pope Benedict becomes pope,1770 - James Cook first sees Australia
20-Apr,Andy Serkis- 1964,George Takei- 1937,Felix Baumgartner- 1969,Miranda Kerr- 1983,Victoria Wood- 2016,Bram Stoker- 1912,1611 - First Performance of Macbeth,1992 - Memorial Concert for Freddie Mercury held at wembley stadium
21-Apr,Queen Elizabeth- 1926,James McAvoy- 1979,Gugu Mbatha-Raw- 1983,Steve Backshall- 1973,Prince- 2016,Mark Twain- 1910,2010 - Shrek 4 premieres,2016 - Barack Obama begins 4 day state visit to UK
22-Apr,Jack Nicholson- 1937,Amber Heard- 1986,Louis Smith- 1989,David Luiz- 1987,Richard Nixon- 1994,Erin Moran- 2017,1994 - Largest lollipop ever is made in Denmark,2014 - David Moyes is sacked as Manchester United Manager
23-Apr,William Shakespeare- 1564,John Cena- 1977,Dev Patel- 1990,James Buchanan- 1791,William Shakespeare- 1616,William Hartnell- 1975,1597 - 'The merry wives of windsor' is first performed,1992 - The first McDonalds opens in China
24-Apr,Sachin Tendulkar- 1973,Kelly Clarkson- 1982,Barbra Streisand- 1942,Joe Keery- 1992,Wallis Simpson- 1986,Estee Lauder- 2004,1953 - Winston Churchill Knighted by Elizabeth II,1969 - Paul McCartney announces that he isn't dead
